EC501,KI/IC50(enzyme kinetics)-1,In-vivo PK/PD1,In-vivo PK/PD2,NumAtoms,MolWt,ALOGP,HAC,RBC,HeavyAtomMolWt,NumValenceElectrons,MolLogP,mode_,NumHDo0rs,NumHAcceptors,TPSA,lipgo
2.614375,13.0404553571429,62.7183596160014,11.5622535840726,34,476.87,5.868,34,4,461.75,168,5.868,Oral,2,5,87.47,0
2.21736666666667,4.46611578947368,28.4342829466716,3.6962344118073,32,558.278,5.141,32,6,536.102,164,5.141,Oral,3,6,105.82,0
186.263333333333,90.2628181818182,931.12641583756,9.72727825304692,24,331.28,2.5394,24,6,318.176,124,2.5394,Oral,0,7,104.97,0
28.640701754386,59.0261538461538,292.777391875302,10.6544494724934,30,413.426,2.8818,30,4,390.242,158,2.8818,Oral,0,8,75.69,0
2.96166863819095,4.35363055555556,1.15665413502766,9.60432591586279,26,349.434,3.32722,26,7,326.25,134,3.32722,Intrave0us,4,3,77.15,0
0.009868571428571,0.033895,8.63778339766683,15.6230668603499,39,527.514,4.75816,39,3,507.354,194,4.75816,Oral,1,9,134.49,0
5.459076,14.7030972,2.2286727865086,17.9105440849753,33,467.932,5.09758,33,8,444.748,170,5.09758,Oral,2,6,90.28,0
15.008234,4.22368977272727,36.4366646096727,9.05190942746996,28,372.392,1.6736,28,5,356.264,138,1.6736,Oral,1,9,107.43,0
5.0847012987013,2.28633333333333,154.552923214902,10.8803466389379,48,713.772,7.36480000000001,48,8,667.404,258,7.36480000000001,Oral,0,6,82.52,0
0.00275,237.082,10.9633436659381,3.39883203139983,35,498.653,2.8076,35,8,464.381,188,2.8076,Intrave0us,3,7,116.32,0
0.034285714285714,0.4475,7.30889577729207,10.7363783280674,29,400.463,3.9881,29,5,384.335,142,3.9881,Intrave0us,1,6,87.26,0
48.7896428571429,52.996305483871,4.47471373414164,16.1606633400116,25,358.547,6.89610000000001,25,10,328.307,136,6.89610000000001,Oral,1,2,37.3,0
7.64759375,2.12533585676056,15.1576044875872,6.73919628907026,33,473.936,3.7637,33,7,448.736,174,3.7637,Oral,2,7,88.61,0
3.4788,3.38409565217391,53.8592009513093,15.5895437632825,38,562.513,5.3025,38,4,528.241,204,5.3025,Oral,4,4,90.46,0
2.2,17.3390037037037,3.7590902476542,1.2357924550694,38,525.598,3.1346,38,8,490.318,204,3.1346,Oral,1,9,119.44,0
11.6408333333333,3.31816333333333,7.50208070791401,8.97914327173175,33,438.491,2.4301,33,3,416.315,164,2.4301,Oral,2,6,94.22,0
7.91666666666667,9.23692307692308,80.1070107689473,10.0569192198824,32,430.46,5.3176,32,5,408.284,162,5.3176,Oral,2,5,93.41,0
0.012241666666667,4.68655238095238,1.13737332919018,15.7705443780869,40,561.609,3.5526,40,6,527.337,216,3.5526,Oral,2,8,102.93,0
7.35024242424242,100.417812025316,5.33711647349972,25.9691174375182,41,562.715,5.0345,41,10,520.379,220,5.0345,Oral,1,8,92.29,0
0.135272727272727,59.2115236363636,52.8915380897601,0.973574811356554,44,643.314,2.5149,44,11,583.842,254,2.5149,Intrave0us,2,6,122.37,0
1.2235,1.27891,11.7002947963555,8.94885108213566,41,580.133,3.8427,41,9,541.829,218,3.8427,Oral,4,9,114.88,0
61.5170653144432,83.6998371373236,48.0046508242841,6.40268726516021,19,264.325,2.4711,19,8,244.165,104,2.4711,Intrave0us,3,3,78.43,0
