DayOfWeek, HourOfDay, PeakProduction, PeakConsumptionAG, PeakConsumptionSO, PeakConsumptionSG, PeakConsumptionGE, PeakConsumptionZH, EndUserConsumption
2, 6, 14.16253482062142, 11.652897428767606, 10.871356254273925, 11.32870084570104, 11.899766258898566, 12.171840530603792, 14.163277985913366
2, 7, 14.585427353006102, 11.795495322289538, 10.947523003990701, 11.499228875464697, 12.067952271044875, 12.35748327341285, 14.283308524648762
2, 8, 14.806421136158443, 11.87824682766187, 11.028365329997184, 11.607123723182436, 12.238477418424504, 12.493487368497266, 14.346628095776746
2, 9, 14.81565553811252, 11.910828398442087, 11.129147589526358, 11.655136184034205, 12.323785136476115, 12.572401226807955, 14.355878086159139
2, 10, 14.792000731467754, 11.922272681269197, 11.034628097563639, 11.662806039144929, 12.358491940232001, 12.600819993086313, 14.383487657079476
2, 11, 14.7519128637402, 11.952551668180876, 10.980812855793435, 11.690395760066629, 12.382645778415482, 12.627150281382105, 14.42137561233988
2, 12, 14.55019149903895, 11.98794657930854, 11.006214049563741, 11.724580505743216, 12.40438935344546, 12.65936602358979, 14.421171179380703
2, 13, 14.513736658447188, 11.986120764164314, 11.01054645127672, 11.723964251536334, 12.412584066606525, 12.66894019844105, 14.359140807282404
2, 14, 14.464010015436196, 11.921016256286586, 10.946919581291759, 11.652209451403511, 12.3654820752907, 12.627908774211253, 14.36107243760345
2, 15, 14.433838275551691, 11.921702363043066, 11.152470413992265, 11.656484762171674, 12.363524349548477, 12.62169476280204, 14.342581389494477
2, 16, 14.412564627509227, 11.91359756494451, 11.132072400353174, 11.643883984593783, 12.346370296561737, 12.601028965910487, 14.332407381244954
2, 17, 14.411021171227725, 11.910512025333054, 11.092981684931198, 11.630773760719348, 12.341887006448331, 12.59093188683166, 14.313106338413919
2, 18, 14.527788455335177, 11.884135248487626, 11.069398565099888, 11.60492884697669, 12.316139812506814, 12.57247340452623, 14.295405262594736
2, 19, 14.71460282470855, 11.861841145533349, 11.051060689219051, 11.571481567698942, 12.327804177825866, 12.550311259899997, 14.285216634820689
2, 20, 14.724072377864577, 11.847109063226876, 10.995091926362804, 11.549045555002106, 12.332936071595025, 12.533826530385957, 14.236549157283703
2, 21, 14.702036774543958, 11.835750500727318, 10.979260497749255, 11.507145700263246, 12.273190012023306, 12.489649534484814, 14.214624578544916
